Date,Plot,Treatment,Row,Plants,Week,WAT,Location,TBW
2012-6-5,101,8,2,26,2,3,RM,0
2012-6-5,102,5,2,28,2,3,RM,0
2012-6-5,103,2,2,26,2,3,RM,0
2012-6-5,104,3,2,28,2,3,RM,0
2012-6-5,105,6,2,26,2,3,RM,0
2012-6-5,106,4,2,29,2,3,RM,0
2012-6-5,107,7,2,26,2,3,RM,0
2012-6-5,108,1,2,26,2,3,RM,2
2012-6-5,201,2,2,25,2,3,RM,0
2012-6-5,202,4,2,25,2,3,RM,0
2012-6-5,203,6,2,26,2,3,RM,0
2012-6-5,204,1,2,27,2,3,RM,0
2012-6-5,205,3,2,26,2,3,RM,1
2012-6-5,206,8,2,27,2,3,RM,0
2012-6-5,207,7,2,26,2,3,RM,0
2012-6-5,208,5,2,25,2,3,RM,0
2012-6-5,301,5,2,25,2,3,RM,0
2012-6-5,302,8,2,26,2,3,RM,0
2012-6-5,303,2,2,26,2,3,RM,1
2012-6-5,304,3,2,23,2,3,RM,0
2012-6-5,305,6,2,26,2,3,RM,0
2012-6-5,306,4,2,26,2,3,RM,0
2012-6-5,307,1,2,24,2,3,RM,0
2012-6-5,308,7,2,24,2,3,RM,0
2012-6-5,401,5,2,23,2,3,RM,0
2012-6-5,402,2,2,26,2,3,RM,0
2012-6-5,403,1,2,28,2,3,RM,0
2012-6-5,404,3,2,27,2,3,RM,1
2012-6-5,405,7,2,28,2,3,RM,1
2012-6-5,406,6,2,28,2,3,RM,0
2012-6-5,407,4,2,26,2,3,RM,0
2012-6-5,408,8,2,27,2,3,RM,0
2012-6-12,101,8,2,26,3,4,RM,0
2012-6-12,102,5,2,28,3,4,RM,0
2012-6-12,103,2,2,26,3,4,RM,1
2012-6-12,104,3,2,28,3,4,RM,2
2012-6-12,105,6,2,26,3,4,RM,0
2012-6-12,106,4,2,29,3,4,RM,0
2012-6-12,107,7,2,26,3,4,RM,2
2012-6-12,108,1,2,26,3,4,RM,6
2012-6-12,201,2,2,25,3,4,RM,4
2012-6-12,202,4,2,25,3,4,RM,0
2012-6-12,203,6,2,26,3,4,RM,0
2012-6-12,204,1,2,27,3,4,RM,3
2012-6-12,205,3,2,26,3,4,RM,4
2012-6-12,206,8,2,27,3,4,RM,0
2012-6-12,207,7,2,26,3,4,RM,1
2012-6-12,208,5,2,25,3,4,RM,2
2012-6-12,301,5,2,25,3,4,RM,1
2012-6-12,302,8,2,26,3,4,RM,0
2012-6-12,303,2,2,26,3,4,RM,1
2012-6-12,304,3,2,23,3,4,RM,0
2012-6-12,305,6,2,26,3,4,RM,0
2012-6-12,306,4,2,26,3,4,RM,1
2012-6-12,307,1,2,24,3,4,RM,4
